phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
verfassungsgebend Versammlung	1359	0,072353194	0,677716006	11,0649358	term	0	1
meistes Zeit	2528	0,002625634	0,677032657	6,42466421	error	0	
mannschaftlich Geschlossenheit	762	0,322469555	0,675523693	12,80422255	collocation	0	0
zusammenwachsend Europa	446	0,011573991	0,674539656	8,542628324	ne	0	1
kürzest Zeit	22029	0,022878778	0,673056993	9,505557252	collocation	0	0
rot-silbern Decke	565	0,038210404	0,671746228	10,21035383	free	0	1
wechselvoll Geschichte	3168	0,012904412	0,67036953	8,697424537	collocation	0	0
anaphylaktisch Schock	500	0,057828947	0,670199451	10,76856759	term	0	0
verheiraten Paar	2284	0,04191402	0,6699197	10,33624564	error	0	
angeleint Hund	402	0,003576673	0,669425	6,865560908	collocation	0	0
verhaltensbedingt Kündigung	538	0,025514403	0,669048705	9,653543937	term	0	1
heut Abend	403	0,003298686	0,668810051	6,749460592	error	0	
steyl Missionar	470	0,064576969	0,665687416	10,91362094	error	0	
alkoholisch Getränk	4740	0,16763883	0,664489345	12,09900585	collocation	0	0
unbeantwortet Frage	563	0,001632488	0,663717936	5,73903661	collocation	0	0
julianisch Kalender	813	0,059922681	0,661447924	10,81419196	ne	0	0
zentralafrikanisch Republik	1515	0,016782267	0,656526055	9,067032008	ne	0	1
bildend Kunst	24435	0,229808539	0,654199481	12,44472416	term	0	0
dendrochronologisch Untersuchung	556	0,004599158	0,65349984	7,225947721	term	0	1
weitest Sinn	5682	0,040226163	0,652783016	10,27861926	collocation	0	0
ungut Gefühl	3004	0,031781153	0,652147966	9,956071661	collocation	0	0
knurrend Magen	532	0,086841496	0,650338019	11,2937312	collocation	0	0
verfassunggebend Versammlung	1086	0,057818308	0,649430649	10,764713	term	0	1
spielbestimmend Mannschaft	511	0,002353707	0,649015533	6,264800035	term	1	1
glasfaserverstärkt Kunststoff	703	0,068576718	0,648474949	10,98888411	term	1	1
zwanzigst Jahrhundert	3130	0,003707665	0,647502234	6,919876367	error	1	
unbillig Härte	518	0,051689994	0,646642831	10,61512876	collocation	0	0
pflichtgemäß Ermessen	765	0,131305768	0,644999303	11,80370566	term	0	1
ungeboren Kind	3085	0,006879383	0,644601767	7,803031094	collocation	0	0
philosophisch-theologisch Hochschule	875	0,011120499	0,644405202	8,485012112	ne	1	1
strafbewehrt Unterlassungserklärung	671	0,360363293	0,643947818	12,88634322	term	1	0
festverzinslich Wertpapier	905	0,185562323	0,643649587	12,20453612	term	1	1
dunkelblond Haar	406	0,005450265	0,643042736	7,468676164	collocation	0	1
achtzigjährig Krieg	610	0,004519662	0,642770168	7,200882961	term	0	1
eigenwirtschaftlich Zweck	468	0,006164591	0,64246974	7,644761861	term	0	1
konzertiert Aktion	1155	0,012431427	0,641909321	8,642859339	term	0	0
strömend Regen	3434	0,160001321	0,641297031	12,03492169	collocation	0	0
berchtesgaden Land	1178	0,002671021	0,640055779	6,447435275	ne	0	0
entgegengebracht Vertrauen	780	0,039124898	0,638722264	10,23855105	term	0	0
stillend Mutter	734	0,011205842	0,636820214	8,495513824	collocation	0	0
monotypisch Gattung	763	0,030653874	0,636239732	9,904440521	term	0	0
randomisiert Studie	1541	0,011752608	0,634013523	8,563203351	term	0	0
schmalst Stelle	738	0,002756224	0,633741623	6,491797258	collocation	0	0
Trojanisch Krieg	439	0,003252619	0,632787008	6,729005003	ne	0	0
altersgemischt Gruppe	615	0,002235998	0,630008607	6,191221517	term	0	1
verfahren Situation	636	0,003334621	0,629976691	6,764956689	collocation	0	0
kommandierend General	1610	0,071870126	0,62904524	11,04557246	collocation	0	0
bestockt Rebfläche	444	0,402537186	0,6288918	12,97343917	term	1	0
herzlichen Glückwunsch	722	0,021590658	0,628751845	9,417996191	error	1	
kinetisch Energie	3084	0,022495676	0,628058223	9,4756552	term	0	0
posttraumatisch Belastungsstörung	1420	0,825097366	0,628039144	13,51239771	term	1	0
vorreformatorisch Zeit	598	0,000620744	0,627873985	4,349023327	term	0	0
allgäu Alpen	1315	0,179788168	0,627354687	12,16086808	ne	0	0
alleinerziehend Mutter	3550	0,054196706	0,62622619	10,67492579	collocation	0	1
vorgang Jahr	1877	0,000467615	0,626201674	3,953055177	error	0	
korrespondierend Mitglied	4372	0,015688816	0,626122239	8,971451876	term	0	0
neuralgisch Punkt	657	0,001562701	0,625954019	5,676515041	term	0	0
berlin-brandenburgisch Akademie	601	0,011423127	0,623824308	8,5221643	ne	0	1
vorauseilend Gehorsam	1092	0,278923813	0,623273173	12,62438765	term	0	0
verkaufsoffen Sonntag	1894	0,043380744	0,622811846	10,37627105	term	1	1
aufgehend Sonne	2323	0,089846949	0,622667358	11,3292927	collocation	0	0
untergehend Sonne	1613	0,062386194	0,622655432	10,8597447	collocation	0	0
kaserniert Volkspolizei	440	0,333584674	0,621464412	12,79622934	term	1	0
