phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
administrativ Organization	819	0,934859252	0,055010454	10,73337361	term	1	0
schnellst Rennrunde	960	0,652509458	0,043729154	10,39125235	collocation	1	0
französisch Ehrenlegion	558	0,932873212	0,001589203	5,700250365	ne	1	0
deutsch Forschungsgemeinschaft	6433	0,932192683	0,002975696	6,60386978	ne	1	0
best Originaldrehbuch	524	0,931046612	0,000896123	4,874906995	term	1	0
marineschule Mürwik	466	0,930139618	0,958847557	13,91727987	ne	0	0
deutsch Krebsforschungszentrum	1206	0,92962865	0,000557838	4,192299324	ne	1	0
frei Arztwahl	570	0,929328381	0,001429789	5,548022547	term	1	0
technisch Gebäudeausrüstung	542	0,928035905	0,001696068	5,793958848	term	1	0
deutsch Reichsbahn	6401	0,925989062	0,002960661	6,596668077	ne	1	0
deutsch Jugendliteraturpreis	769	0,92557141	0,000355685	3,543432624	ne	1	0
unabhängig Landeszentrum	413	0,923492151	0,004741393	7,272194892	ne	1	0
deutsch Bundespost	2166	0,922134333	0,001001793	5,0364094	ne	1	0
frei Wildbahn	4439	0,97875339	0,01113603	8,495147685	collocation	1	0
best Nachwuchsdarstellerin	426	0,921077856	0,000728502	4,576440175	term	1	0
deutsch Verkehrssicherheitsrat	559	0,920574404	0,000258537	3,083444843	ne	1	0
mittler Sohlgefall	486	0,918040756	0,003690404	6,912297079	term	1	0
schwedisch Elitserien	503	0,917435896	0,005741647	7,546741641	error		
lokal Kleingewerbe	1751	0,916988654	0,012230434	8,627613468	term	1	0
letzt Ruhestätte	5013	0,914506778	0,003132374	6,677580946	collocation	1	0
größer Durchgangsachsen	406	0,914453314	0,001028306	5,073134399	ne	1	0
deutsch Arbeitsfront	941	0,913271169	0,00043517	3,834512249	ne	1	0
international Strafgerichtshof	1966	0,912183988	0,00378035	6,947144529	ne	1	0
strunz'sch Mineralsystematik	804	0,910531881	0,912598913	13,86641685	term	1	0
gut Letzt	7617	0,908161413	0,004607364	7,232041588	cliche	0	0
jährlich Durchschnittseinkommen	3466	0,906158632	0,037315536	10,19779783	term	1	0
plötzlich Kindstod	816	0,905521867	0,029366871	9,864315859	term	1	0
deutsch Wanderverband	426	0,905036094	0,000196984	2,69154012	ne	1	0
naturräumlich Haupteinheitengruppe	940	0,901233642	0,274452026	12,75110348	term	1	1
direkt Bundessteuer	420	0,900268675	0,002112323	6,109829835	term	1	0
deutsch Internetwirtschaft	438	0,897620816	0,000202513	2,731606209	ne	1	0
sowjetisch Militäradministration	1066	0,896930791	0,014365563	8,855906171	ne	1	0
rein Formsache	449	0,888213854	0,002569391	6,391640205	collocation	1	0
eigen Gutdünken	720	0,896499809	0,000460295	3,915344761	cliche	1	0
allgemein Gleichbehandlungsgesetz	1165	0,894736764	0,004203701	7,099361194	term	1	0
weit Ferne	4087	0,673153374	0,03368343	10,03821718	collocation	0	0
sofortig Vollziehung	761	0,888823622	0,019641263	9,298539834	term	1	0
übel Nachrede	1831	0,893975511	0,122342865	11,78398134	collocation	1	0
acer Aspire	514	0,887733185	0,380740407	13,09198712	ne	0	0
deutsch Telekom	10763	0,88737352	0,004975655	7,342955553	ne	0	0
berliner charité	886	0,886616249	0,00390907	6,994914102	ne	0	0
hessisch Lichtenau	596	0,886558317	0,008757361	8,150600147	ne	0	0
berliner Wasserbetrieb	754	0,885898844	0,003326677	6,763110294	ne	1	0
öffentlich Personennahverkehr	5709	0,88489209	0,013453073	8,762758844	term	1	0
personalisiert Verhältniswahl	1269	0,883678055	0,196317212	12,36183942	term	1	0
nordisch Skiweltmeisterschaft	3689	0,882860521	0,162236911	12,13283767	ne	1	0
arm Schlucker	472	0,814800262	0,006047786	7,620089358	collocation	0	0
plötzlich Herztod	903	0,878266606	0,032497738	10,00409985	term	1	0
ortsüblich Vergleichsmiete	670	0,878102431	0,250748025	12,6419229	term	1	1
deutsch Bundestag	28298	0,877748898	0,013080168	8,724444734	ne	1	0
deutsch Unesco-kommission	806	0,877552869	0,000372557	3,611171457	ne	1	0
gut Zureden	632	0,721311512	0,000381369	3,647298274	collocation	0	0
groß Bundesverdienstkreuz	963	0,876417091	0,000412745	3,759063815	term	1	0
hamburger Abendblatt	3109	0,875747998	0,029771164	9,881963919	ne	1	0
international Mathematikerkongress	1242	0,875074682	0,002387901	6,286576126	ne	1	0
best Nebendarstellerin	1671	0,874632187	0,002857081	6,54467278	term	1	0
heilig Laurentius	658	0,874011713	0,003407219	6,797407219	ne	0	0
weise Voraussicht	793	0,687697155	0,052244824	10,63585154	collocation	0	0
heilig Franziskus	970	0,872100623	0,005022787	7,354634975	ne	0	0
höchst Denkmalkategorie	572	0,872006464	0,002296541	6,230156378	term	1	0
europäisch Menschenrechtskonvention	1655	0,871832547	0,003468602	6,823365072	ne	1	0
besser Vereinbarkeit	842	0,618538012	0,002888363	6,559081526	collocation	0	0
akademisch Lehrkrankenhaus	831	0,868074875	0,015926826	9,001438421	ne	1	0
international Bauausstellung	982	0,867902211	0,001887971	5,948500307	ne	1	0
weiblich Genitalverstümmelung	541	0,867847985	0,005206458	7,406010068	term	1	0
letzt Mohikaner	416	0,867578208	0,000259813	3,091026486	ne	0	0
deutsch Sporthochschule	1318	0,866992863	0,000609125	4,320273634	ne	1	0
deutsch Kinemathek	428	0,865956251	0,000197801	2,69828213	ne	0	0
paris Métro	412	0,865474519	0,028664529	9,828422371	ne	0	0
heilig Gral	1696	0,864323161	0,008782021	8,154421189	ne	0	0
gleich Augenhöhe	1153	0,864030976	0,002046464	6,064588299	idiom	1	0
rot Blutfarbstoff	404	0,863566863	0,001354381	5,469936561	term	1	0
unverbindlich Preisempfehlung	1618	0,862895293	0,179278458	12,24795538	term	1	0
gut Laune	13880	0,572874623	0,008350477	8,084289346	collocation	0	0
palästinensisch Autonomiegebiet	590	0,861193256	0,024506262	9,60884745	ne	1	0
still Kämmerlein	1252	0,860908148	0,037560465	10,20379967	idiom	0	0
bayerisch Staatsschauspiel	640	0,86055892	0,004021668	7,035478626	ne	1	0
sächsisch Schweiz-Osterzgebirge	792	0,859553583	0,010554974	8,416556286	ne	1	0
frei Wohlfahrtspflege	1490	0,858237681	0,003736838	6,930259201	term	1	0
vereint Dienstleistungsgewerkschaft	745	0,856124314	0,019001551	9,250645716	term	1	0
rot Khmer	1240	0,855420193	0,004156939	7,083123711	ne	0	0
schwäbisch Albverein	798	0,855136686	0,023705563	9,561969016	ne	1	0
deutsch Leichtathletik-Meisterschaft	678	0,854808721	0,000313287	3,361759666	ne	1	0
best Weltcupergebnis	491	0,881684782	0,000839536	4,781078001	free	1	0
unerwünscht Arzneimittelwirkung	473	0,812608329	0,022310761	9,474847567	free	1	0
deutsch Journalisten-verband	419	0,851046943	0,000193599	2,667622913	ne	1	0
inner Schweinehund	1977	0,85053622	0,01134126	8,518856973	idiom	1	0
deutsch Polizeigewerkschaft	563	0,849764024	0,000260129	3,093695431	ne	1	0
deutsch Herzstiftung	467	0,848944101	0,00021577	2,824057164	ne	1	0
preußisch Kulturbesitz	1489	0,848896789	0,014937793	8,910088486	ne	1	0
anerkannt Erholungsort	1228	0,698631826	0,021515094	9,417928525	free	1	0
gut Regierungsführung	413	0,588339057	0,000248565	3,033667386	free	1	0
allgemein Gleichheitssatz	475	0,846793666	0,001713801	5,808870637	term	1	0
eierlegend Wollmilchsau	1139	0,846208258	0,681219033	13,59417494	idiom	1	0
wachsend Telien	417	0,845433306	0,005215108	7,408152572	term	0	0
effektiv Jahreszins	765	0,845114821	0,020358562	9,347494759	term	1	0
progressiv Muskelentspannung	502	0,843649727	0,051224012	10,62794142	term	1	0
österreichisch Bundesheer	1339	0,843298307	0,00708185	7,846547297	ne	1	0
betrieblich Eingliederungsmanagement	516	0,842914611	0,011762067	8,570358088	term	1	0
doppelt Blütenhülle	1116	0,84195327	0,01810141	9,181652625	term	1	0
best Einzelergebnis	752	0,566267133	0,001283381	5,394200361	free	1	0
deutsch Wehrmacht	6059	0,841115642	0,002799131	6,517264759	ne	1	0
deutsch Energie-agentur	731	0,839898129	0,0003377	3,470295065	ne	1	0
heilig Augustinus	640	0,836707956	0,003313845	6,757302232	ne	0	0
rot Zora	449	0,836157301	0,001505152	5,621963473	ne	0	0
öffentlich Zugänglichmachung	427	0,83507829	0,001006064	5,041817458	term	1	0
europäisch Weltraumorganisation	401	0,834713236	0,000840324	4,782474338	ne	1	0
schwäbisch Hall	4659	0,832856588	0,138400526	11,92521581	ne	0	0
wesentlich Vertragspflicht	670	0,826385129	0,004417494	7,169993344	free	1	0
heilig Antonius	1361	0,832450714	0,007047055	7,839372759	ne	0	0
chronisch Polyarthritis	408	0,832442153	0,00983683	8,315526382	term	1	0
gut rutsch	5766	0,832070252	0,003484783	6,831650079	error		
führend Antivirus	519	0,687730011	0,004429615	7,172533382	free	1	0
deutsch Apothekerverband	500	0,827833609	0,000230941	2,922527325	ne	1	0
deutsch Fährstraße	536	0,827718259	0,000247569	3,022803524	ne	1	0
bolivianisch Altiplano	579	0,827115422	0,097786914	11,48458612	ne	0	0
deutsch Vermögensberatung	598	0,826442945	0,0002762	3,180665939	ne	1	0
stehend Ovation	1131	0,793133049	0,010427258	8,397879574	collocation	0	0
grob Fahrlässigkeit	3836	0,727429189	0,09465725	11,42251604	collocation	0	0
posttraumatisch Belastungsstörung	1420	0,825097366	0,628039144	13,51239771	term	1	0
deutsch Kinderschutzbund	806	0,82500857	0,000372261	3,611133409	ne	1	0
privat Partnership	574	0,824559229	0,00219439	6,164615274	term	0	0
indisch Subkontinent	1566	0,823015258	0,023889527	9,571359064	ne	1	0
zweit Burenkrieg	513	0,82257687	0,000425641	3,803037248	ne	1	0
heilig Jakobus	525	0,821895043	0,00271833	6,472485759	ne	0	0
deutsch Anwaltverein	729	0,821100376	0,000336676	3,466331126	ne	1	0
geheim Staatspolizei	910	0,821040002	0,017680903	9,147688293	term	1	0
oberst Dienstbehörde	506	0,821003232	0,006071969	7,625888358	term	1	0
ostantarktisch Viktorialand	912	0,820877738	0,518475385	13,34605499	ne	1	1
absolut No-go	511	0,691613664	0,003275651	6,739699557	collocation	1	0
stark Rauchentwicklung	873	0,618520436	0,002292796	6,227724166	collocation	1	0
europäisch Investitionsbank	462	0,819616854	0,000968102	4,986514175	ne	1	0
unter Landschaftsbehörde	405	0,819150298	0,003014685	6,621145897	term	1	0
rheinland-pfälzisch Ortsgemeind	2013	0,817909828	0,170345503	12,17362517	ne	1	1
super Bowl	1148	0,817829654	0,013941558	8,811294857	ne	0	0
jung Werther	695	0,816572729	0,001186489	5,279784043	ne	0	0
statistisch Bundesamt	8093	0,816294381	0,178956181	12,23183039	ne	1	0
deutsch Grammophon	937	0,815917592	0,0004327	3,828289816	ne	0	0
schwer Kopfverletzung	833	0,605825711	0,003234694	6,721408313	collocation	1	0
hoch Wiedererkennungswert	960	0,583415395	0,001100837	5,174651941	collocation	1	0
kassenärztlich Bundesvereinigung	1257	0,813568747	0,21560744	12,4473416	ne	1	1
deutsch Werkbund	960	0,812944099	0,0004433	3,863253816	ne	1	0
schwer Knieverletzung	662	0,569864031	0,002570316	6,391111492	collocation	1	0
international Atomenergiebehörde	628	0,811859611	0,001207123	5,304530638	ne	1	0
deutsch Friedensgesellschaft	419	0,810475651	0,000193474	2,66760689	ne	1	0
groß Zapfenstreich	707	0,808225021	0,000302679	3,313375656	term	1	0
körperlich Unversehrtheit	2200	0,806594302	0,024544568	9,60847909	term	1	0
deutsch Hochschulverband	550	0,806143943	0,000253945	3,059979444	ne	1	0
klein Vorgeschmack	1459	0,561145653	0,000869531	4,839750989	collocation	1	0
national Sicherheitsrat	777	0,801593772	0,003639385	6,891771577	ne	1	0
elektronisch Gesundheitskarte	1577	0,798711827	0,013802599	8,796592251	term	1	0
technisch Gebäudeausrüstung	1474	0,797613917	0,596035281	13,44837129	term	0	0
deutsch Sporthilfe	465	0,797602908	0,000214668	2,817843966	ne	1	0
durchschnittlich Familiengröße	3610	0,991567093	0,038447053	10,24416552	free	1	0
deutsch Bibliotheksverband	432	0,794877238	0,000199424	2,7116706	ne	1	0
genfer Flüchtlingskonvention	530	0,794567201	0,071216711	11,06454025	ne	1	0
berliner Tagesspiegel	880	0,794500702	0,003882008	6,984426558	ne	1	0
zentral Omnibusbahnhof	482	0,794166811	0,002036401	6,056998887	ne	1	0
durchschnittlich Haushaltsgröße	1219	0,959366561	0,012982325	8,713338958	free	1	0
urkundlich Ersterwähnung	931	0,792919541	0,047539987	10,52132703	term	1	0
best Szenenbild	1017	0,790913794	0,001738241	5,829813964	term	1	0
groß Halbachse	528	0,789252459	0,000225966	2,892329045	term	1	0
historisch Hilfswissenschaft	727	0,787860064	0,002483046	6,342373164	term	1	0
deutsch Versicherungswirtschaft	904	0,786791209	0,000417254	3,77656354	ne	1	0
gut Gelingen	2952	0,786361527	0,001783047	5,868510714	cliche	0	0
links Brustseite	887	0,685515458	0,004456975	7,181614167	free	1	0
deutsch Richterbund	413	0,781613326	0,000190608	2,646791083	ne	1	0
ehrenamtlich Ortsbürgermeister	2020	0,78084822	0,035609377	10,12420048	term	1	0
eigen Rechtspersönlichkeit	594	0,780821172	0,000379245	3,637850459	term	1	0
herzlich Glückwunsch	26055	0,77889092	0,285005886	12,73950567	cliche	1	0
deutsch Verwaltungsjurist	1237	0,778317674	0,000570869	4,228724721	term	1	0
international Frauentag	1657	0,778205394	0,003184585	6,700529423	ne	1	0
landwirtschaftlich Produktionsgenossenschaft	891	0,775814631	0,014194263	8,835437262	term	1	1
kontinental Hockey-Liga	2111	0,775785877	0,254028155	12,6144349	term	1	0
sozial Schwacher	1025	0,775203646	0,002761104	6,49513161	term	0	0
allgemein Geschäftsbedingung	8451	0,774867169	0,030486477	9,909307273	term	1	0
besonder Augenmerk	7741	0,774723821	0,015263392	8,939222403	idiom	1	0
evangelisch Frauenhilfe	406	0,772547616	0,002646115	6,433495993	ne	1	0
rechts Maustaste	5860	0,606606968	0,026904758	9,722503916	free	1	0
ärztlich Attest	1352	0,579275699	0,028615986	9,803670694	term	0	0
geboren Freiin	417	0,770513968	0,007566872	7,939939134	term	0	0
allgemein Ortskrankenkasse	406	0,768977508	0,0014646	5,582594331	ne	1	0
deutsch Caritasverband	890	0,768243907	0,000410654	3,754040097	ne	1	0
brennend Dornbusch	415	0,766994955	0,020269953	9,337904343	term	1	0
deutsch Ostsiedlung	457	0,766118099	0,000210856	2,792798736	ne	1	0
deutsch Kulturrat	951	0,765236246	0,000438776	3,849624705	ne	1	0
erst Bundesligator	687	0,764127189	0,000201231	2,727941587	term	1	0
deutsch Technikmuseum	600	0,764101736	0,000276824	3,185442901	ne	1	0
deutsch Wetterdienst	2447	0,763284376	0,001128964	5,211830688	ne	1	0
deutsch Städtetag	1653	0,763152144	0,000762637	4,646586963	ne	1	0
volkswirtschaftlich Gesamtrechnung	615	0,762988269	0,074871189	11,12553088	term	1	1
ökologisch Landbau	3775	0,762945332	0,06113848	10,85718627	term	1	0
schädlich Umwelteinwirkung	415	0,762790935	0,027031646	9,740591369	term	1	0
ober Tabellendrittel	740	0,588442454	0,005179856	7,395231418	free	1	0
stat Navy	3687	0,76067058	0,755526829	13,6004525	ne	0	0
allgemein Hochschulreife	2203	0,75850545	0,007946877	8,010238004	term	1	0
friedlich Koexistenz	1144	0,671180853	0,031495788	9,945286593	free	0	0
grau Eminenz	722	0,756553247	0,014050695	8,820366549	idiom	0	0
apostolisch Vikariat	1662	0,756420123	0,114523162	11,67036689	term	0	0
deutsch Lufthansa	1273	0,755778814	0,000587236	4,270049582	ne	0	0
energetisch Gebäudesanierung	901	0,755140996	0,045131997	10,44660404	term	1	0
steuerlich Absetzbarkeit	470	0,754317117	0,024277328	9,590103577	term	0	0
erst Spatenstich	3518	0,750358423	0,001030043	5,0827437	idiom	1	0
elektrisch Fensterheber	1289	0,796643804	0,012777139	8,686955152	free	1	0
kanadisch Juniorenliga	1035	0,74917352	0,018409351	9,201709003	ne	1	0
deutsch Krankenhausgesellschaft	469	0,749036934	0,000216322	2,830173133	ne	1	0
sozialpädagogisch Familienhilfe	426	0,748658828	0,086619843	11,31290776	term	1	1
staatlich Schulamt	1250	0,748038662	0,006981633	7,82483472	term	1	0
erst Profivertrag	1330	0,847882522	0,000390434	3,680706482	free	1	0
sozial Benachteiligter	703	0,746766926	0,001893537	5,952577406	term	0	0
deutsch Fußball-nationalmannschaft	552	0,745072078	0,000254585	3,06517804	ne	1	0
zivil Ungehorsam	1990	0,744859487	0,053774472	10,68261011	term	0	0
erst Play-off-Runde	420	0,744806335	0,000122952	2,018160085	term	1	0
wien Zentralfriedhof	1246	0,743536944	0,018278312	9,191425704	ne	1	0
vier Qualifikantenplatz	541	0,743383034	0,000719356	4,559495394	term	1	0
kölner Stadtanzeiger	764	0,740777145	0,015391303	8,948726989	ne	1	0
allgemein Persönlichkeitsrecht	1494	0,740023808	0,005389051	7,45451082	term	1	0
deutsch Wiedervereinigung	4235	0,739812854	0,001952999	6,001525792	term	1	0
zweit Lebenshälfte	619	0,76276545	0,00051329	4,073795032	free	1	0
erst Gehversuch	1464	0,734873554	0,000428443	3,81902218	free	1	0
rheinisch Friedrich-Wilhelms-Universität	1932	0,734187584	0,068954542	11,01237407	ne	1	0
schwer Atemschutz	594	0,733830145	0,002307489	6,236703788	term	1	0
klein Einmaleins	425	0,73315139	0,000254187	3,062024768	term	1	0
allgemein Wehrpflicht	1281	0,732260487	0,004620638	7,233992275	term	1	0
zulässig Gesamtmasse	402	0,730794903	0,017758561	9,150085361	term	1	0
offen Ganztagsgrundschule	453	0,730539029	0,001804265	5,882755407	term	1	0
lutherisch Weltbund	665	0,72988405	0,039511511	10,26241082	ne	1	0
paar Jährchen	1458	0,710798358	0,00209749	6,100709391	free	0	0
schweizerisch Nationalfonds	631	0,729251055	0,013969793	8,811209373	term	1	0
gender Mainstreaming	1293	0,728859112	0,749562747	13,56377961	term	1	0
letzt Drücker	1118	0,728773179	0,000697002	4,516351844	idiom	0	0
erst Nachkriegsjahr	882	0,688723123	0,000257719	3,088253058	free	1	0
stabil Seitenlage	480	0,727041502	0,01054783	8,412441232	term	1	0
wissenschaftlich Erstbeschreibung	887	0,726970352	0,00356493	6,861729643	term	1	0
deutsch Flugsicherung	910	0,726946811	0,000419543	3,78604057	term	1	0
deutsch Schachbundesliga	625	0,726806527	0,000288147	3,244287859	ne	1	0
öffentlich Nahverkehr	5244	0,726586241	0,012350706	8,637644869	term	1	0
zweit Jahreshälfte	2882	0,573945562	0,002383519	6,28787639	free	1	0
international Filmfestspiel	4120	0,724623616	0,007916218	8,004842086	ne	1	0
polnisch Woiwodschaft	3370	0,724487174	0,030190295	9,891674096	ne	0	0
früher Strada	401	0,724063847	0,001917035	5,969869529	ne	0	0
kommunal Spitzenverband	1787	0,723133453	0,025667721	9,665992513	term	1	0
bestehend Familienhaushalt	981	0,934120022	0,004746463	7,273870394	term	1	0
kiewer Rus	675	0,721146785	0,329266952	12,85474524	ne	0	0
koronar Herzkrankheit	1545	0,720945465	0,550799068	13,32076134	term	1	0
sekundär Pflanzenstoff	1540	0,720912565	0,114410015	11,6598262	term	1	0
frei Radikaler	3158	0,718480149	0,007916425	8,004436002	term	0	0
international Museumstag	498	0,716985534	0,000956826	4,970130723	ne	1	0
zweit Vatikanisch	3384	0,715832441	0,002804615	6,519871073	error		
voll Pulle	728	0,715339066	0,003113917	6,667373206	idiom	0	0
oberst Heeresleitung	861	0,715287205	0,010331152	8,382710665	term	1	0
europäisch Union	50953	0,714752356	0,106723081	11,57296043	ne	0	0
russisch Zarenreich	425	0,714527056	0,002264867	6,209634253	ne	1	0
deutsch Ruderverband	522	0,71390754	0,000240595	2,984566255	ne	1	0
ganz weile	632	0,712657647	0,000585933	4,26499435	error		
einzig Wahre	434	0,712619777	0,000937904	4,941203962	error		
ehemalig Zisterzienserabtei	478	0,711958147	0,000964149	4,981066561	term	1	0
deutsch Ärzteblatt	796	0,711231975	0,000366863	3,59302989	ne	1	0
erst Länderspieltor	750	0,561708088	0,000217931	2,854345469	free	1	0
erst Bühnenerfahrung	474	0,560604915	0,000137724	2,192543598	free	1	0
österreichisch Eishockey-Liga	667	0,710119983	0,003526942	6,846062523	ne	1	0
deutsch Musikrat	820	0,709471437	0,00037791	3,63586134	term	1	0
beide Weltkriege	441	0,708465064	0,000568624	4,220935821	error		
deutsch Kinderhilfswerk	596	0,707846394	0,000274666	3,175756016	ne	1	0
golden Himbeere	1010	0,707691701	0,008813741	8,156473797	ne	1	0
deutsch Krebsgesellschaft	742	0,7065102	0,00034194	3,491726033	ne	1	0
bedingungslos Grundeinkommen	2757	0,70616529	0,297212738	12,7428208	term	1	0
bürgerlich Gesetzbuch	4136	0,705991404	0,067642504	10,98229773	term	1	0
künstlich Befruchtung	2814	0,705893063	0,053630764	10,67374621	term	0	0
kommunal Neugliederung	1529	0,70490865	0,021961636	9,447098488	term	1	0
südlich Frankenalb	404	0,704511648	0,003761226	6,938074126	ne	1	0
eingetragen Lebenspartnerschaft	1541	0,704501576	0,063545694	10,89943487	term	1	0
groß Verdienstkreuz	1243	0,703643717	0,000530998	4,126878259	ne	1	0
deutsch Fußballbund	531	0,703577841	0,000244688	3,009212956	ne	1	0
historisch Aufführungspraxis	1072	0,701914513	0,003660529	6,8996907	term	1	0
best Nebendarsteller	1865	0,701312257	0,003186089	6,701307782	term	1	0
schwäbisch Alb	4581	0,700202272	0,136078103	11,86643131	ne	0	0
deutsch Amateurmeisterschaft	654	0,699777772	0,000301342	3,309673576	ne	1	0
international Friedensfahrt	403	0,699422461	0,000774227	4,665091847	ne	1	0
gesund Menschenverstand	6781	0,870761125	0,065511126	10,96339567	collocation	1	0
staatlich Gewaltmonopol	530	0,698291944	0,002959953	6,594264462	term	1	0
parlamentarisch Staatssekretärin	961	0,697213021	0,027503726	9,760074934	term	1	0
gymnasial Oberstufe	3263	0,696466104	0,582359286	13,34330834	term	1	0
rechts Maustest	461	0,696312729	0,002117071	6,112610858	term	1	0
sozial Sicherungssystem	2285	0,696029261	0,006153526	7,644146782	term	1	0
europäisch Hochschulraum	468	0,695019295	0,000980151	5,004800585	term	1	0
polizeilich Kriminalstatistik	582	0,694430289	0,035820683	10,12443272	term	1	0
passend Staubsaugerbeutel	2035	0,945770477	0,013904716	8,810738819	free	1	0
deutsch Schachbund	919	0,694205018	0,000423392	3,800192168	ne	1	0
ganz Weile	10483	0,758481751	0,009723403	8,29987923	collocation	0	0
durchschnittlich Jahreseinkommen	1162	0,652699689	0,012372356	8,636555057	free	1	0
deutsch Zollverein	593	0,690683046	0,000273179	3,168465109	ne	1	0
gültig Kfz-Kennzeichen	445	0,689647704	0,008247656	8,061233168	term	1	0
verdeckt Gewinnausschüttung	630	0,689220759	0,053588198	10,67007911	term	1	0
persönlich Bestleistung	3503	0,586446547	0,008919219	8,171437235	collocation	1	0
sexuell Kindesmissbrauch	423	0,688574502	0,006157479	7,643946121	term	1	0
sonstig Wirtschaftsbereichen	619	0,861595234	0,006055472	7,622477577	free	1	0
